author,commits,additions,deletions
A.J. Welch,1,5,5
Adam Donahue,1,1,1
Aivars Kalv€Åns,1,1,1
Alex Cepoi,22,1454,616
Alexander Chekunkov,13,835,708
Alexander Sibiryakov,9,81,12
Alexandr N Zamaraev (aka tonal),6,49,18
Alexandru Cepoi,7,355,77
Alexey Bezhan,6,75,64
Alexey Vishnevsky,1,2,2
Ally Weir,1,1,1
Ana Sabina Uban,1,74,7
Andres Moreira,17,791,164
Andrew Murray,1,2,2
Andrew Scorpil,1,80,9
AndrÌ©s Moreira,2,49,30
Aron Bordin,3,71,21
Artem Bogomyagkov,7,55,23
Artur Gaspar,14,202,106
Ashish Kulkarni,1,10,386
Beng Hee Eu,1,6,1
Benoit Blanchon,3,6,3
Berend Iwema,2,51,12
Berker Peksag,4,45,31
Breno Colom,1,8,0
Brian Lange,2,6,1
Bryan Crowe,1,2,2
Cameron Lane,2,14,1
Capi Etheriel,9,1977,1691
Carlos Rivera,1,1,1
Cash Costello,1,1,1
Chomba Ng'ang'a,1,2,2
Chris Nilsson,3,27,6
Chris Tilden,1,39,39
Christian Pedersen,1,3,6
Claudio Salazar,4,35,4
Damian Canabal,8,24,14
Dan,732,50296,14908
Daniel Collins,5,234,33
Daniel Grana,340,34412,5442
Daniel GraÌ±a,381,15557,9421
Darian Moody,4,44,8
Darshan Chaudhary,3,55,7
David Chen,1,11,11
David Tagatac,2,4,4
Demelziraptor,1,2,0
Denys Butenko,5,35,21
Dharmesh Pandav,1,7,2
Diana Huang,1,4,9
Diego Allen,1,9,2
Dracony,1,69,7
Dragon Dave,1,9,7
Edwin O Marshall,32,4526,2515
Elias Dorneles,81,1630,1772
Emanuel Schorsch,1,6,4
Ezequiel Rivero,4,53,41
Faisal Anees,1,2,0
Felipe Ruhland,10,116,52
Felix Yan,11,292,226
Ferdy Rodriguez,2,9,15
Francesco Piccinno,1,2,2
Gregory Vigo Torres,5,9,8
HalfCrazy,1,1,1
Hart,2,3,3
Hasnain Lakhani,1,77,0
Hoat Le,1,1,1
Hobson Lane,3,8,3
Ilya Baryshev,1,1,1
Irhine,2,7,1
Ismael Carnales,246,19551,6518
Jae-Myoung Yu,1,10,0
Jakob de Maeyer,22,1218,754
Jamey Sharp,5,70,7
Jason Yeo,1,2,2
Jeff Paine,1,1,1
JesÌ_s Losada,5,32,13
Joakim Uddholm,8,54,14
Jochen Maes,2,20,0
John-Scott Atlakson,1,1,1
Jonas Brunsgaard,2,6,1
Jonas Tingeborn,1,30,9
Jordi Llonch,3,30,3
JosÌ© Ricardo,1,1,1
Juan M Uys,1,1,1
Juan Picca,1,19,2
Julia Medina,174,5087,2892
Julien Duponchelle,1,9,0
Kenneth Schnall,2,2,2
Kevin Yap,1,8,6
Konstantin Lopuhin,105,977,599
Kumara Tharmalingam,1,1,1
Lazar-T,2,2,2
Lele,1,1,1
Leonid Amirov,7,54,37
Lev Berman,2,56,9
Libor NenadÌÁl,1,1,1
Libor Nenad‡l,1,2,1
Lisimia,1,1,1
Loren Davie,2,22,1
Lorena,2,17,17
Luan,1,2,2
Luar Roji,2,18,12
Lucas Moauro,1,7,4
Lucian Ursu,6,5768,146
LucianU,1,3,1
Lukasz Biedrycki,8,427,256
Maik RÌ_der,1,1,1
Marc Abramowitz,2,13,0
Marco DallaG,1,2,2
Marius Gedminas,2,2,2
Mark Grey,1,6,0
Martin Olveyra,27,48776,414
Martin Santos,1,25,1
Marven Sanchez,2,137,0
Mateusz Golewski,6,72,12
Matias Aguirre,27,1466,299
Matt O'Connell,1,3,3
Matvei Nazaruk,2,27,6
Max Arnold,12,323,111
Michael Manfre,1,1,1
Michal Danilak,4,90,10
Mikael ÌÉhlÌ©n,2,58,8
Mikhail Korobov,224,5984,3532
Mikhail Lyundin,4,17,23
Natan L,1,2,2
Nicolas Pennequin,2,59,3
NicolÌÁs Alejandro RamÌ_rez Quiros,,,
NicolÌÁs RamÌ_rez,7,128,35
Nikita Nikishin,1,16,4
Nikola Pavlovi€à,1,2,2
Nikolaos-Digenis Karagiannis,13,84,20
Nikolay Golub,1,1,1
Nuno Maximiano,1,20,15
Olaf Dietsche,4,77,7
Pablo Hoffman,1834,170565,42228
Panayiotis Lipiridis,1,5,5
Patrick Connolly,1,2,2
Paul Brown,1,1,1
Paul Tremberth,159,4354,1421
Pawel Miech,18,561,256
Pedro,11,537,181
Pedro Faustino,10,533,180
Pengyu CHEN,7,47,6
Peter Bronez,1,4,4
Ping Yin,20,342,74
Rafal Jagoda,1,5,2
RafaÅâ Gutkowski,1,22,6
Ralph Gutkowski,2,7,7
Ramiro Morales,2,2,2
RasPat1,1,2,0
Raul Gallegos,3,57,23
Rendaw,1,2,1
Richard Dowinton,1,31,2
Rick,1,2,2
Robert Weindl,1,1,1
Rocio Aramberri,2,59,14
Rolando Espinoza,45,3077,566
Rolando Espinoza La fuente,30,2858,477
Roy Crihfield,1,1,1
Ruben Vereecken,2,11,2
Shadab Zafar,2,123,60
Shane,12,519,225
Shane Evans,12,519,225
Shuaib,1,85,6
Simon Ratner,1,2,2
Stefan,5,86,19
Stefan Koch,1,38,3
Steven Almeroth,11,286,60
Sudhanshu Shekhar,2,75,5
Thom Dixon,2,10,10
Tom Mortimer-Jones,1,9,0
Travis Briggs,1,35,25
Uyounghz,1,1,1
VKen,1,3,3
Valdir Stumm Jr,7,221,393
Valdir Stumm Junior,4,34,41
Valentin-Costel H€Äloiu,1,1,1
Victor Mireyev,2,3,3
Victor Varvariuc,1,2,2
Victoria Terenina (torymur),2,28,1
Vikas Dhiman,1,48,9
Vladislav,2,7,2
Vladislav Poluhin,1,5,1
Wieland Hoffmann,1,2,2
Yaroslav Halchenko,5,17,7
Yuri Prezument,1,1,0
Zbigniew Siciarz,1,1,1
ZoltÌÁn Szeredi,2,4,1
Zuhao Wan,1,10,2
agusc,1,6,45
ajones1@gmail.com,1,2,2
alexanderlukanin13,14,621,329
andrewshir,2,7,1
anibal,5,1943,1
arijitchakraborty,3,29,5
artem,8,82,23
bagratte,3,95,90
bosnj,2,18,3
cacovsky,2,7,1
carlosp420,1,1,1
cclauss,1,1,1
damian,10,46,28
daniel,10,222,36
darshanime,2,24,13
deed02392,1,4,1
dfdeshom,1,49,11
dgrana,5,28,17
dinesh,6,30,4
djunzu,6,191,68
drack3800,3,19,2
duendex,15,385,99
eduardo,4,54,8
elpolilla,187,8701,3981
eltermann,1,1,1
german,1,3,10
hoatle,2,2,2
hy,1,2,2
immerrr,1,19,2
irgmedeiros,2,6,4
ivan,3,17,9
ivannotes,2,14,5
joehillen,2,47,41
klangner,2,9,6
klangner@gmail.com,2,9,6
lostsnow,1,8,2
malcolm m,1,1,1
mgachhui,1,1,1
molveyra,17,473,70
mrpandav,3,57,3
nanolab,1,1,1
nblock,1,1,1
ncp1113,1,3,3
notsobad,1,36,3
nramirezuy,23,496,265
nyov,35,835,773
olveyra,168,52296,1715
omer,3,14,1
orangain,5,51,18
pablo,1839,170668,42292
palego,4,45,14
paul,163,4609,1455
pawelmhm,19,568,264
preetwinder,4,184,63
rajathkumarmp,1,1,1
rootavish,1,12,1
samus_,61,888,410
scraperdragon,1,1,1
seales,1,5,5
smirecki,1,4,4
